학교,학년,과목,난이도,문제,정답,선택1,선택2,선택3
초등학교,3,수학,2,7 x 96 = ?,672,83,81,65
초등학교,3,수학,1,88 - 44 = ?,44,21,97,20
초등학교,3,수학,1,10 + 98 = ?,108,75,99,79
초등학교,3,수학,2,84 x 33 = ?,2772,59,91,14
초등학교,3,수학,3,50 + 64 = ?,114,9,57,31
초등학교,3,수학,2,82 x 17 = ?,1394,84,62,46
초등학교,3,수학,1,67 - 64 = ?,3,49,6,39
초등학교,3,수학,1,66 + 62 = ?,128,8,12,80
초등학교,3,수학,2,88 - 21 = ?,67,60,37,52
초등학교,3,수학,2,24 x 8 = ?,192,88,28,11
초등학교,3,수학,3,8 - 61 = ?,-53,44,93,34
초등학교,3,수학,3,60 - 85 = ?,-25,77,25,81
초등학교,3,수학,2,28 + 15 = ?,43,51,9,17
초등학교,3,수학,3,53 + 4 = ?,57,50,53,93
초등학교,3,수학,2,54 + 57 = ?,111,8,50,13
초등학교,3,수학,2,10 - 83 = ?,-73,76,1,96
초등학교,3,수학,1,3 x 3 = ?,9,26,98,12
초등학교,3,수학,2,16 + 69 = ?,85,69,42,36
초등학교,3,수학,3,28 - 63 = ?,-35,24,86,39
초등학교,3,수학,2,60 - 89 = ?,-29,55,74,36
초등학교,3,수학,3,36 - 8 = ?,28,71,85,37
초등학교,3,수학,3,85 - 21 = ?,64,11,48,61
초등학교,3,수학,2,75 x 60 = ?,4500,27,98,57
초등학교,3,수학,1,85 - 38 = ?,47,27,26,39
초등학교,3,수학,3,73 + 68 = ?,141,56,25,57
초등학교,3,수학,2,40 - 52 = ?,-12,10,52,46
초등학교,3,수학,3,8 - 76 = ?,-68,26,75,3
초등학교,3,수학,2,6 + 61 = ?,67,87,12,85
초등학교,3,수학,3,3 x 88 = ?,264,1,84,69
초등학교,3,수학,2,72 + 78 = ?,150,43,31,82
초등학교,3,수학,3,19 + 5 = ?,24,47,8,92
초등학교,3,수학,3,61 x 6 = ?,366,71,71,86
초등학교,3,수학,2,81 - 28 = ?,53,69,14,49
초등학교,3,수학,2,29 - 66 = ?,-37,84,54,9
초등학교,3,수학,2,93 + 6 = ?,99,86,9,44
초등학교,3,수학,2,95 + 50 = ?,145,76,54,97
초등학교,3,수학,3,55 x 29 = ?,1595,38,1,83
초등학교,3,수학,2,18 x 30 = ?,540,49,4,38
초등학교,3,수학,2,32 + 80 = ?,112,56,59,49
초등학교,3,수학,1,2 x 92 = ?,184,34,59,33
초등학교,3,수학,3,94 + 51 = ?,145,95,95,6
초등학교,3,수학,3,58 x 80 = ?,4640,41,82,83
초등학교,3,수학,2,25 x 18 = ?,450,97,62,35
초등학교,3,수학,3,19 + 41 = ?,60,95,33,85
초등학교,3,수학,2,30 x 38 = ?,1140,67,78,4
초등학교,3,수학,3,27 + 55 = ?,82,60,50,69
초등학교,3,수학,3,91 + 38 = ?,129,3,24,23
초등학교,3,수학,2,9 x 33 = ?,297,96,1,8
초등학교,3,수학,1,39 - 50 = ?,-11,49,5,67
초등학교,3,수학,2,8 - 71 = ?,-63,44,94,5
초등학교,3,수학,3,68 - 4 = ?,64,33,88,99
초등학교,3,수학,1,49 x 77 = ?,3773,28,61,91
초등학교,3,수학,3,43 + 79 = ?,122,14,66,5
초등학교,3,수학,3,14 - 92 = ?,-78,10,54,19
초등학교,3,수학,2,73 - 82 = ?,-9,70,90,78
초등학교,3,수학,3,70 x 3 = ?,210,69,21,18
초등학교,3,수학,1,29 - 92 = ?,-63,89,36,36
초등학교,3,수학,3,98 - 46 = ?,52,29,67,56
초등학교,3,수학,3,16 + 88 = ?,104,98,61,42
초등학교,3,수학,2,94 x 2 = ?,188,44,59,79
초등학교,3,수학,1,18 - 52 = ?,-34,57,11,82
초등학교,3,수학,3,86 + 46 = ?,132,43,85,100
초등학교,3,수학,1,86 - 50 = ?,36,38,71,24
초등학교,3,수학,3,45 + 51 = ?,96,83,3,7
초등학교,3,수학,1,32 - 41 = ?,-9,71,92,11
초등학교,3,수학,1,47 x 63 = ?,2961,10,72,61
초등학교,3,수학,1,35 x 44 = ?,1540,67,64,49
초등학교,3,수학,1,74 - 99 = ?,-25,60,75,12
초등학교,3,수학,2,21 - 40 = ?,-19,48,68,46
초등학교,3,수학,1,65 + 90 = ?,155,37,44,81
초등학교,3,수학,3,44 + 19 = ?,63,48,24,55
초등학교,3,수학,2,6 - 29 = ?,-23,100,39,29
초등학교,3,수학,1,61 + 29 = ?,90,1,40,40
초등학교,3,수학,2,45 - 73 = ?,-28,24,9,55
초등학교,3,수학,1,3 - 22 = ?,-19,43,52,18
초등학교,3,수학,3,77 x 99 = ?,7623,35,65,23
초등학교,3,수학,2,87 x 35 = ?,3045,59,18,43
초등학교,3,수학,3,85 - 36 = ?,49,20,88,26
초등학교,3,수학,2,44 + 32 = ?,76,54,20,17
초등학교,3,수학,1,88 - 89 = ?,-1,55,40,77
초등학교,3,수학,3,20 x 62 = ?,1240,92,85,98
초등학교,3,수학,1,48 - 57 = ?,-9,27,20,33
초등학교,3,수학,3,56 - 92 = ?,-36,21,97,20
초등학교,3,수학,1,54 x 26 = ?,1404,58,91,65
초등학교,3,수학,1,96 - 52 = ?,44,50,17,12
초등학교,3,수학,2,77 - 32 = ?,45,75,72,46
초등학교,3,수학,1,34 + 16 = ?,50,61,61,20
초등학교,3,수학,1,100 x 3 = ?,300,97,21,5
초등학교,3,수학,2,45 x 53 = ?,2385,67,62,8
초등학교,3,수학,1,99 x 7 = ?,693,32,29,39
초등학교,3,수학,3,32 - 1 = ?,31,36,43,27
초등학교,3,수학,3,69 x 7 = ?,483,23,87,56
초등학교,3,수학,3,22 - 70 = ?,-48,5,26,97
초등학교,3,수학,3,5 - 24 = ?,-19,15,46,61
초등학교,3,수학,1,80 + 11 = ?,91,92,86,4
초등학교,3,수학,3,75 + 76 = ?,151,25,87,76
초등학교,3,수학,2,88 + 2 = ?,90,66,79,32
초등학교,3,수학,3,21 x 82 = ?,1722,41,78,3
초등학교,3,수학,3,16 x 39 = ?,624,2,16,97
초등학교,3,수학,3,6 x 8 = ?,48,63,78,34
